trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,10,-101.23702136950902,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-51.629424017114765,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-149.48212241603892,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-29.427299523778455,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-141.2183314140571,"{0: 16, 1: 8, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-125.00841688860584,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,1,-183.54246348230535,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-144.5690295771852,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,11,-0.23356158483457778,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-90.73234806262326,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,9,1.5699679361914243,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,8,19.55431827547717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,7,5.822107037068717,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,19,10.673604811655554,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,23.430770654458488,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-66.13740210954379,"{0: 26, 1: 0, 2: 0, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,12,24.29491593843979,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,4,-123.55815858619522,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 3}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,13.918836628467078,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-2.3393263801064643,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,5.655709382367057,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,27.9624282638097,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,23.54372056780368,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-3.441407487353967,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,3,33.97731785598338,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,2,23.924109555111418,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,16,24.249027686323053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,41.20819181527497,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,1,10.507044755839491,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,17,24.17977439073042,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
