trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000499833375, 'e': 0.9900498337491681}",20,3,-132.62435155790422,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 2}",1
2,False,"{'a': 0.9980019986673331, 'e': 0.9801986733067553}",20,0,-95.41918581372678,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.997004495503373, 'e': 0.9704455335485082}",20,0,-139.77199656748408,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.9960079893439915, 'e': 0.9607894391523232}",30,0,-187.82686385937868,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.9950124791926823, 'e': 0.951229424500714}",25,0,-153.11113765198206,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",0
6,False,"{'a': 0.9940179640539353, 'e': 0.9417645335842487}",25,0,-91.79752794048004,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.9930244429332351, 'e': 0.9323938199059483}",25,0,-193.0021148230266,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.9920319148370607, 'e': 0.9231163463866358}",25,0,-213.44039080123187,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
9,False,"{'a': 0.9910403787728836, 'e': 0.9139311852712282}",20,2,-95.31192981286044,"{0: 10, 1: 4, 2: 1, 3: 2, 4: 1}",1
10,False,"{'a': 0.9900498337491681, 'e': 0.9048374180359595}",30,0,-230.7960975813867,"{0: 17, 1: 0, 2: 7, 3: 3, 4: 3}",0
11,False,"{'a': 0.9890602787753687, 'e': 0.8958341352965282}",20,0,-116.85843963847718,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
12,False,"{'a': 0.9880717128619305, 'e': 0.8869204367171575}",25,0,-78.46749751055462,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.9870841350202876, 'e': 0.8780954309205613}",20,6,-26.935253661928666,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.9860975442628619, 'e': 0.8693582353988059}",20,0,-21.697451429031645,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.9851119396030626, 'e': 0.8607079764250578}",30,0,-147.49069156961744,"{0: 21, 1: 1, 2: 3, 3: 3, 4: 2}",0
16,False,"{'a': 0.9841273200552851, 'e': 0.8521437889662113}",20,13,-7.079541514753521,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.9831436846349096, 'e': 0.8436648165963837}",20,0,-57.922369478360736,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.9821610323583008, 'e': 0.835270211411272}",25,0,-52.27219653250599,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
19,False,"{'a': 0.981179362242806, 'e': 0.8269591339433623}",20,0,-38.507925380583586,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.9801986733067553, 'e': 0.8187307530779818}",20,0,-21.138284353192624,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.9792189645694596, 'e': 0.8105842459701871}",35,0,-186.01001327514268,"{0: 23, 1: 3, 2: 4, 3: 2, 4: 3}",0
22,False,"{'a': 0.97824023505121, 'e': 0.8025187979624785}",20,0,-93.54962649102686,"{0: 7, 1: 6, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.9772624837732771, 'e': 0.794533602503334}",20,0,-105.84849562095376,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.9762857097579093, 'e': 0.7866278610665535}",30,0,-158.70537714534973,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
25,False,"{'a': 0.9753099120283326, 'e': 0.7788007830714049}",20,6,-89.82091471349082,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
26,False,"{'a': 0.9743350896087494, 'e': 0.7710515858035663}",25,0,-92.76180126809209,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
27,False,"{'a': 0.9733612415243368, 'e': 0.7633794943368531}",25,0,-157.79960644475045,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.9723883668012469, 'e': 0.7557837414557255}",20,0,-25.31750395723951,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.9714164644666048, 'e': 0.7482635675785653}",30,0,-124.97502023263068,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.9704455335485082, 'e': 0.7408182206817179}",20,0,-63.81037325893314,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.9694755730760259, 'e': 0.7334469562242892}",25,0,-53.05613322270172,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
32,False,"{'a': 0.9685065820791976, 'e': 0.7261490370736909}",20,0,-52.36821308924265,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.967538559589032, 'e': 0.7189237334319262}",20,12,-8.052815825330082,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.9665715046375066, 'e': 0.7117703227626097}",20,0,-19.11516956294856,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.9656054162575665, 'e': 0.7046880897187134}",25,14,-4.847640295060759,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.9646402934831231, 'e': 0.697676326071031}",25,0,-155.7972857305158,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.9636761353490535, 'e': 0.6907343306373547}",20,4,-13.049484507423871,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
38,False,"{'a': 0.9627129408911995, 'e': 0.6838614092123558}",20,8,8.510409118970951,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.9617507091463667, 'e': 0.6770568744981647}",25,0,-134.75178542454324,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.9607894391523232, 'e': 0.6703200460356393}",25,5,-76.6099246184907,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
41,False,"{'a': 0.9598291299477989, 'e': 0.6636502501363194}",20,13,-9.406843229225055,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.9588697805724845, 'e': 0.6570468198150567}",30,23,-2.9557721471375205,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",25,0,-49.59763830438004,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",30,0,-50.79250966590185,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
45,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",20,11,5.541819237207342,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",30,0,-4.368268187392065,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",25,3,-36.14348625687447,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 0}",1
48,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",25,0,-69.86609940935865,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
49,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",25,0,-59.543378932978406,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",20,0,-73.5225581626854,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
