trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.03236196938724,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.81649542203407,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.93012197591561,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.93519632604733,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.5249859591305,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.12999334558384,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,12,-20.288393602349622,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.462548223300873,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.48550551209921,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,14,-1.9688517912676935,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
